Wavelength,Red,Green,Blue
735,0.0007,0.0002,0.0015
736,0.0008,0.0002,0.002
737,0.001,0.0002,0.0024
738,0.0011,0.0001,0.0029
739,0.0012,0.0001,0.0033
740,0.0014,0.0001,0.0038
741,0.0015,0,0.0038
742,0.0017,-0.0001,0.0038
743,0.0018,-0.0003,0.0038
744,0.002,-0.0004,0.0038
745,0.0022,-0.0005,0.0038
746,0.0017,-0.0002,0.0022
747,0.0013,0.0001,0.0007
748,0.0009,0.0004,-0.0009
749,0.0004,0.0007,-0.0024
750,0,0.001,-0.0039
751,0.0002,0.0009,-0.0031
752,0.0004,0.0009,-0.0023
753,0.0006,0.0008,-0.0015
754,0.0009,0.0007,-0.0007
755,0.0011,0.0006,0.0001
756,0.0009,0.0005,0.0006
757,0.0007,0.0003,0.0011
758,0.0005,0.0002,0.0016
759,0.0004,0,0.0021
760,0.0002,-0.0001,0.0026
761,0.0002,-0.0002,0.0028
762,0.0002,-0.0003,0.0029
763,0.0001,-0.0004,0.0031
764,0.0001,-0.0005,0.0032
765,0.0001,-0.0006,0.0034
766,0.0001,-0.0004,0.0033
767,0,-0.0002,0.0033
768,0,0.0001,0.0033
769,-0.0001,0.0003,0.0033
770,-0.0001,0.0005,0.0033
771,-0.0003,0.0004,0.0024
772,-0.0004,0.0003,0.0014
773,-0.0005,0.0002,0.0005
774,-0.0007,0,-0.0005
775,-0.0008,-0.0001,-0.0015
776,-0.0007,-0.0004,-0.0002
777,-0.0006,-0.0007,0.001
778,-0.0005,-0.0011,0.0022
779,-0.0003,-0.0014,0.0035
780,-0.0002,-0.0017,0.0047
781,0.0001,-0.0013,0.0039
782,0.0004,-0.0008,0.0032
783,0.0007,-0.0004,0.0024
784,0.001,0.0001,0.0017
785,0.0013,0.0005,0.0009
786,0.0012,0.0003,0.0016
787,0.001,0.0001,0.0023
788,0.0009,0,0.0029
789,0.0007,-0.0002,0.0036
790,0.0006,-0.0004,0.0043
791,0.0006,-0.0004,0.0034
792,0.0006,-0.0003,0.0025
793,0.0007,-0.0003,0.0017
794,0.0007,-0.0002,0.0008
795,0.0007,-0.0001,-0.0001
796,0.0008,-0.0003,0.0006
797,0.0009,-0.0004,0.0012
798,0.001,-0.0006,0.0018
799,0.0011,-0.0007,0.0024
800,0.0013,-0.0009,0.003
